               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.030088,            0.016898,          0.00054075,             0.87555,             0.84249,             0.84297,             0.50301,            0.046897,            0.028182,          0.00017418,            0.001684,            0.001684,            0.001684
                  86,             0.03027,            0.017189,          0.00061265,              0.8769,             0.84953,             0.85034,             0.50626,            0.046734,            0.027816,          0.00015164,            0.001585,            0.001585,            0.001585
                  87,            0.029927,            0.016666,          0.00049534,             0.87988,             0.85461,             0.84901,             0.50066,            0.046811,            0.027466,           0.0001297,            0.001486,            0.001486,            0.001486
                  88,            0.029982,            0.016374,          0.00053023,             0.87838,             0.84476,             0.84642,             0.49669,            0.047235,            0.027641,          0.00012849,            0.001387,            0.001387,            0.001387
                  89,             0.02909,            0.016176,            0.000486,             0.88499,             0.84105,             0.84614,             0.49666,            0.047099,            0.028105,          0.00012463,            0.001288,            0.001288,            0.001288
                  90,            0.029547,            0.016197,          0.00066531,             0.86858,             0.84275,             0.84704,              0.4989,            0.046666,            0.028482,           0.0001346,            0.001189,            0.001189,            0.001189
                  91,            0.029466,            0.016205,          0.00055404,             0.88565,             0.83736,             0.84771,             0.50427,            0.047104,            0.028884,           0.0001325,             0.00109,             0.00109,             0.00109
                  92,            0.028971,            0.016402,          0.00046341,             0.88039,              0.8467,              0.8468,             0.49508,            0.047311,            0.028234,          0.00011915,            0.000991,            0.000991,            0.000991
                  93,            0.029179,            0.016207,           0.0005053,             0.87274,              0.8484,             0.85038,             0.50869,            0.046294,            0.028166,          0.00012576,            0.000892,            0.000892,            0.000892
                  94,            0.028258,            0.015941,          0.00054438,             0.88527,             0.85014,             0.85046,             0.50816,            0.046794,             0.02813,          0.00011344,            0.000793,            0.000793,            0.000793
                  95,            0.028111,            0.015637,          0.00056062,             0.88757,             0.83984,             0.85016,             0.49661,             0.04724,            0.028795,          0.00013521,            0.000694,            0.000694,            0.000694
                  96,            0.028578,            0.016057,          0.00060235,             0.88285,             0.84557,             0.84986,             0.50359,             0.04684,             0.02827,          0.00011107,            0.000595,            0.000595,            0.000595
                  97,            0.028701,             0.01673,          0.00047342,             0.87813,             0.84896,             0.84751,             0.50363,            0.046563,            0.028215,          0.00011826,            0.000496,            0.000496,            0.000496
                  98,            0.028414,             0.01544,          0.00042848,             0.87213,             0.84953,             0.84819,             0.51143,            0.046683,            0.028457,           0.0001072,            0.000397,            0.000397,            0.000397
                  99,            0.028477,            0.016089,          0.00046425,             0.89059,             0.84162,             0.84994,             0.50368,            0.046787,            0.028388,          0.00011383,            0.000298,            0.000298,            0.000298
